distance|iqid|vqid|maxradius
4.849|Q18006877|Q11918302|5.0
3.275|Q18007655|Q11918302|5.0
4.879|Q19368132|Q11918302|5.0
4.81|Q19368322|Q11918302|5.0
4.792|Q65205370|Q11918302|5.0
4.7|Q65205714|Q11918302|5.0
3.57|Q65205836|Q11918302|5.0
3.393|Q65934967|Q11918302|5.0
4.81|Q105923447|Q11918302|5.0
4.834|Q105923460|Q11918302|5.0
4.871|Q105923466|Q11918302|5.0
2.818|Q105979367|Q11918302|5.0
1.754|Q105979490|Q11918302|5.0
1.681|Q105979555|Q11918302|5.0
3.16|Q105979604|Q11918302|5.0
1.759|Q105979628|Q11918302|5.0
3.298|Q105979629|Q11918302|5.0
1.475|Q105979630|Q11918302|5.0
3.232|Q105979657|Q11918302|5.0
3.269|Q105979666|Q11918302|5.0
3.121|Q105979687|Q11918302|5.0
3.388|Q105979702|Q11918302|5.0
3.608|Q105979707|Q11918302|5.0
1.502|Q105979730|Q11918302|5.0
2.972|Q105980529|Q11918302|5.0
3.594|Q105980569|Q11918302|5.0
4.9|Q105980585|Q11918302|5.0
2.691|Q105980599|Q11918302|5.0
4.689|Q105980669|Q11918302|5.0
2.889|Q105980700|Q11918302|5.0
4.679|Q105980703|Q11918302|5.0
4.96|Q105980809|Q11918302|5.0
3.091|Q105980879|Q11918302|5.0
3.614|Q105980882|Q11918302|5.0
3.169|Q105980894|Q11918302|5.0
4.579|Q105980909|Q11918302|5.0
3.393|Q105980913|Q11918302|5.0
4.522|Q105980924|Q11918302|5.0
4.791|Q105980977|Q11918302|5.0
4.519|Q105980997|Q11918302|5.0
3.283|Q105981007|Q11918302|5.0
1.229|Q967526|Q11918302|5.0
4.916|Q984645|Q11918302|5.0
0.0|Q11918302|Q11918302|5.0
1.918|Q11948614|Q11918302|5.0
1.231|Q18003862|Q11918302|5.0
4.893|Q18007600|Q11918302|5.0
1.241|Q18007635|Q11918302|5.0
4.904|Q20900878|Q11918302|5.0
4.788|Q20900927|Q11918302|5.0
4.786|Q20901149|Q11918302|5.0
4.927|Q20901224|Q11918302|5.0
4.901|Q20901527|Q11918302|5.0
4.612|Q20901529|Q11918302|5.0
1.629|Q21013379|Q11918302|5.0
4.877|Q24035406|Q11918302|5.0
4.9|Q24035407|Q11918302|5.0
4.886|Q24035408|Q11918302|5.0
4.857|Q24035409|Q11918302|5.0
4.857|Q24035410|Q11918302|5.0
4.88|Q24035411|Q11918302|5.0
4.857|Q24035412|Q11918302|5.0
4.934|Q24035413|Q11918302|5.0
4.539|Q28222795|Q11918302|5.0
3.442|Q28374100|Q11918302|5.0
2.721|Q28374504|Q11918302|5.0
3.072|Q28379766|Q11918302|5.0
4.532|Q28379775|Q11918302|5.0
4.603|Q28379785|Q11918302|5.0
4.457|Q28381568|Q11918302|5.0
4.483|Q28401899|Q11918302|5.0
4.486|Q28403121|Q11918302|5.0
2.996|Q28445396|Q11918302|5.0
4.549|Q28465537|Q11918302|5.0
3.045|Q28465569|Q11918302|5.0
4.931|Q28466480|Q11918302|5.0
2.864|Q66191170|Q11918302|5.0
3.001|Q67608224|Q11918302|5.0
2.022|Q73259838|Q11918302|5.0
2.243|Q73282264|Q11918302|5.0
3.617|Q73282267|Q11918302|5.0
3.533|Q96602959|Q11918302|5.0
2.596|Q105979130|Q11918302|5.0
4.82|Q105979131|Q11918302|5.0
4.359|Q105979132|Q11918302|5.0
1.843|Q105979171|Q11918302|5.0
2.578|Q105979186|Q11918302|5.0
2.478|Q105979204|Q11918302|5.0
3.358|Q105979226|Q11918302|5.0
3.093|Q105979241|Q11918302|5.0
4.075|Q105979248|Q11918302|5.0
2.766|Q105979269|Q11918302|5.0
2.36|Q105979274|Q11918302|5.0
4.886|Q105979293|Q11918302|5.0
2.037|Q105979326|Q11918302|5.0
2.911|Q105979385|Q11918302|5.0
2.621|Q105979386|Q11918302|5.0
2.74|Q105979395|Q11918302|5.0
4.502|Q105979401|Q11918302|5.0
3.841|Q105979425|Q11918302|5.0
2.702|Q105979426|Q11918302|5.0
2.888|Q105979429|Q11918302|5.0
3.854|Q105979440|Q11918302|5.0
2.173|Q105979487|Q11918302|5.0
2.041|Q105979491|Q11918302|5.0
2.076|Q105979519|Q11918302|5.0
3.066|Q105979533|Q11918302|5.0
2.989|Q105979559|Q11918302|5.0
2.435|Q105979576|Q11918302|5.0
1.678|Q105979583|Q11918302|5.0
4.551|Q105979618|Q11918302|5.0
4.783|Q105979640|Q11918302|5.0
4.752|Q105979664|Q11918302|5.0
4.725|Q105979679|Q11918302|5.0
4.802|Q105980515|Q11918302|5.0
4.751|Q105980531|Q11918302|5.0
4.363|Q105980556|Q11918302|5.0
2.131|Q105980558|Q11918302|5.0
2.645|Q105980566|Q11918302|5.0
4.166|Q105980602|Q11918302|5.0
3.15|Q105980613|Q11918302|5.0
4.132|Q105980619|Q11918302|5.0
3.917|Q105980624|Q11918302|5.0
2.147|Q105980629|Q11918302|5.0
2.226|Q105980634|Q11918302|5.0
2.584|Q105980642|Q11918302|5.0
4.629|Q105980687|Q11918302|5.0
4.493|Q105981027|Q11918302|5.0
4.956|Q105981151|Q11918302|5.0
4.034|Q107035943|Q11918302|5.0
3.635|Q107035944|Q11918302|5.0
2.224|Q107035946|Q11918302|5.0
2.244|Q107035947|Q11918302|5.0
2.239|Q107035948|Q11918302|5.0
4.102|Q1917568|Q11918302|5.0
4.477|Q9034387|Q11918302|5.0
3.873|Q11913131|Q11918302|5.0
2.385|Q11924526|Q11918302|5.0
2.351|Q17596227|Q11918302|5.0
3.898|Q17619010|Q11918302|5.0
4.245|Q18003385|Q11918302|5.0
4.093|Q18003434|Q11918302|5.0
4.503|Q18003946|Q11918302|5.0
3.999|Q18003953|Q11918302|5.0
2.449|Q18004060|Q11918302|5.0
2.544|Q18006695|Q11918302|5.0
3.962|Q18006868|Q11918302|5.0
2.378|Q18007056|Q11918302|5.0
3.747|Q18696873|Q11918302|5.0
4.709|Q20876535|Q11918302|5.0
4.885|Q20900890|Q11918302|5.0
4.841|Q20900912|Q11918302|5.0
4.968|Q20900913|Q11918302|5.0
4.815|Q20900930|Q11918302|5.0
4.821|Q20901057|Q11918302|5.0
4.993|Q20901171|Q11918302|5.0
4.002|Q20901222|Q11918302|5.0
4.816|Q20901296|Q11918302|5.0
4.721|Q20901324|Q11918302|5.0
4.917|Q20901364|Q11918302|5.0
4.966|Q20901365|Q11918302|5.0
4.786|Q20901376|Q11918302|5.0
4.079|Q21849546|Q11918302|5.0
4.959|Q24035420|Q11918302|5.0
4.982|Q51845016|Q11918302|5.0
4.912|Q51845159|Q11918302|5.0
4.902|Q51845170|Q11918302|5.0
4.892|Q51845172|Q11918302|5.0
4.885|Q51845263|Q11918302|5.0
3.637|Q52728030|Q11918302|5.0
2.37|Q65205724|Q11918302|5.0
2.596|Q65205748|Q11918302|5.0
4.856|Q24035414|Q11918302|5.0
4.825|Q24035415|Q11918302|5.0
4.873|Q24035416|Q11918302|5.0
4.857|Q24035417|Q11918302|5.0
4.857|Q24035418|Q11918302|5.0
4.863|Q24035422|Q11918302|5.0
4.862|Q24035423|Q11918302|5.0
4.879|Q24035424|Q11918302|5.0
4.839|Q24035425|Q11918302|5.0
1.722|Q28133209|Q11918302|5.0
1.665|Q28404069|Q11918302|5.0
4.919|Q51687989|Q11918302|5.0
4.935|Q51688351|Q11918302|5.0
4.913|Q51688367|Q11918302|5.0
4.904|Q51688390|Q11918302|5.0
4.929|Q51688420|Q11918302|5.0
4.884|Q51688466|Q11918302|5.0
4.834|Q51845010|Q11918302|5.0
4.911|Q51845013|Q11918302|5.0
4.879|Q51845015|Q11918302|5.0
4.882|Q51845019|Q11918302|5.0
4.841|Q51845028|Q11918302|5.0
4.927|Q51845105|Q11918302|5.0
4.906|Q51845155|Q11918302|5.0
4.984|Q51845307|Q11918302|5.0
1.205|Q65205296|Q11918302|5.0
1.195|Q65205388|Q11918302|5.0
1.432|Q73380376|Q11918302|5.0
4.269|Q73416253|Q11918302|5.0
4.703|Q96600769|Q11918302|5.0
4.832|Q96600828|Q11918302|5.0
4.889|Q96600847|Q11918302|5.0
1.961|Q105979189|Q11918302|5.0
3.465|Q105979268|Q11918302|5.0
1.665|Q105979283|Q11918302|5.0
1.175|Q105979312|Q11918302|5.0
1.505|Q105979365|Q11918302|5.0
1.415|Q105979370|Q11918302|5.0
1.892|Q105979376|Q11918302|5.0
1.58|Q105979406|Q11918302|5.0
1.696|Q105979412|Q11918302|5.0
3.061|Q105979417|Q11918302|5.0
2.26|Q105979424|Q11918302|5.0
2.785|Q105979461|Q11918302|5.0
1.555|Q105979465|Q11918302|5.0
1.466|Q105979498|Q11918302|5.0
1.643|Q105979503|Q11918302|5.0
4.665|Q105979529|Q11918302|5.0
1.422|Q105979552|Q11918302|5.0
0.111|Q105979579|Q11918302|5.0
1.53|Q105979613|Q11918302|5.0
0.911|Q105979622|Q11918302|5.0
0.996|Q105979633|Q11918302|5.0
0.866|Q105979639|Q11918302|5.0
1.675|Q105979647|Q11918302|5.0
1.75|Q105979677|Q11918302|5.0
0.987|Q105979683|Q11918302|5.0
0.406|Q105979696|Q11918302|5.0
4.908|Q105979720|Q11918302|5.0
3.287|Q105979738|Q11918302|5.0
2.008|Q105980217|Q11918302|5.0
4.928|Q107155477|Q11918302|5.0
4.936|Q107155478|Q11918302|5.0
4.851|Q107155479|Q11918302|5.0
4.885|Q107155482|Q11918302|5.0
4.092|Q110642754|Q11918302|5.0
4.608|Q111255205|Q11918302|5.0
4.506|Q111308250|Q11918302|5.0
4.88|Q111595006|Q11918302|5.0
4.858|Q107155500|Q11918302|5.0
4.729|Q107155503|Q11918302|5.0
4.529|Q111308362|Q11918302|5.0
4.582|Q111308489|Q11918302|5.0
4.885|Q107155483|Q11918302|5.0
4.903|Q107155485|Q11918302|5.0
4.794|Q107155486|Q11918302|5.0
4.885|Q107155496|Q11918302|5.0
4.856|Q107155497|Q11918302|5.0
4.868|Q107155498|Q11918302|5.0
4.574|Q107155501|Q11918302|5.0
3.924|Q65205856|Q11918302|5.0
3.9|Q65205935|Q11918302|5.0
4.546|Q73261220|Q11918302|5.0
3.557|Q73394320|Q11918302|5.0
4.383|Q73394675|Q11918302|5.0
4.989|Q96588040|Q11918302|5.0
4.939|Q96600790|Q11918302|5.0
4.903|Q96600809|Q11918302|5.0
4.952|Q96600866|Q11918302|5.0
4.932|Q96600888|Q11918302|5.0
4.913|Q96600907|Q11918302|5.0
3.42|Q105979403|Q11918302|5.0
3.441|Q105979410|Q11918302|5.0
3.672|Q105979431|Q11918302|5.0
3.782|Q105979448|Q11918302|5.0
4.036|Q105979464|Q11918302|5.0
3.639|Q105979481|Q11918302|5.0
3.385|Q105979493|Q11918302|5.0
4.541|Q105979534|Q11918302|5.0
4.531|Q105979548|Q11918302|5.0
3.818|Q105979551|Q11918302|5.0
3.645|Q105979558|Q11918302|5.0
4.26|Q105979563|Q11918302|5.0
3.559|Q105979567|Q11918302|5.0
4.248|Q105979582|Q11918302|5.0
4.133|Q105979588|Q11918302|5.0
3.433|Q105979726|Q11918302|5.0
4.934|Q105980207|Q11918302|5.0
3.587|Q105980210|Q11918302|5.0
2.957|Q105980212|Q11918302|5.0
4.064|Q105980221|Q11918302|5.0
4.934|Q105980240|Q11918302|5.0
4.695|Q105980262|Q11918302|5.0
4.629|Q105980267|Q11918302|5.0
4.856|Q105980279|Q11918302|5.0
4.905|Q105980308|Q11918302|5.0
4.999|Q105980310|Q11918302|5.0
4.05|Q105980526|Q11918302|5.0
2.385|Q105980575|Q11918302|5.0
4.177|Q105980606|Q11918302|5.0
4.715|Q105980696|Q11918302|5.0
4.325|Q105980753|Q11918302|5.0
4.022|Q105980771|Q11918302|5.0
3.923|Q105980970|Q11918302|5.0
4.447|Q105980992|Q11918302|5.0
3.722|Q105981005|Q11918302|5.0
3.843|Q105981014|Q11918302|5.0
3.34|Q105981111|Q11918302|5.0
4.997|Q107155476|Q11918302|5.0
